Authors,Article Title,Publication Year,Species,n traditional ,n edna,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,Total.eDNA.Samples (units are day*site samples),Total.Pos.eDNA.Samples,eDNA.Detection.Percentage (based off total number of samples taken) ,Total.Trad.Samples (units are day*trap),Total.Pos.Trad.Samples,Trad.Detection.Percentage (based off total number of samples taken) ,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. maculata,29,29,0,0,0.07,2,232,2,0.01,24,0,0,not looking at any late summer data,#DIV/0!,0.06,0,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,P. maculata,30,30,0.033333333,1,0.07,2,240,2,0.01,96,1,0.01,not looking at any late summer data,0.301029996,0.06,0.03,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,30,30,0.3,9,0.03,1,240,1,0,160,13,0.08,not looking at any late summer data,-0.954242509,0.03,0.21,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,29,29,0,0,0.03,1,232,1,0,24,0,0,not looking at any late summer data,#DIV/0!,0.03,0,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. catesbeianus,30,30,0,0,0.03,1,240,1,0,96,0,0,not looking at any late summer data,#DIV/0!,0.03,0,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,30,30,0.433333333,13,1,30,240,177,0.74,162,58,0.36,not looking at any late summer data,0.363177902,0,0.25,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,29,29,0.275862069,8,1,29,232,175,0.75,24,10,0.42,not looking at any late summer data,0.559308011,0,0.2,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. clamitans,30,30,0.733333333,22,1,30,240,177,0.74,96,32,0.33,not looking at any late summer data,0.134698574,0,0.2,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,30,30,0.733333333,22,0.8,24,240,92,0.38,162,37,0.23,not looking at any late summer data,0.037788561,0.16,0.2,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,29,29,0.137931034,4,0.79,23,232,91,0.39,24,5,0.21,not looking at any late summer data,0.759667845,0.16,0.12,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. pipiens,30,30,0.5,15,0.8,24,240,92,0.38,96,19,0.2,not looking at any late summer data,0.204119983,0.16,0.25,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,29,30,0.068965517,2,0.3,9,240,11,0.05,162,4,0.02,not looking at any late summer data,0.638489257,0.21,0.06,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,29,29,0,0,0.28,8,232,10,0.04,24,0,0,not looking at any late summer data,#DIV/0!,0.2,0,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. septentrionalis,30,30,0,0,0.3,9,240,11,0.05,96,0,0,not looking at any late summer data,#DIV/0!,0.21,0,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. ylvaticus,30,30,0.266666667,8,0.57,17,240,64,0.27,162,16,0.1,not looking at any late summer data,0.327358934,0.25,0.2,,,COI,Water Fiilter,Visual,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. ylvaticus,29,29,0.034482759,1,0.55,16,232,63,0.27,24,1,0.04,not looking at any late summer data,1.204119983,0.25,0.03,,,COI,Water Fiilter,Dip Net,Active,NA,NA,Amphibian 
Wikston_ M; Breton_ BAA; Vilaça_ ST; Bennett_ AM; Kyle_ CJ; Beresford_ DV; Lesbarreres_ D; Wilson_ CC; Green_ DM; Fortin_ MJ; Murray_ DL,Comparative efficacy of eDNA and conventional methods for monitoring wetland anuran communities,1-Jul-23,L. ylvaticus,30,30,0.2,6,0.57,17,240,64,0.27,96,7,0.07,not looking at any late summer data,0.452297671,0.25,0.16,,,COI,Water Fiilter,Breeding Call,Active,NA,NA,Amphibian 
Castañeda_ RA; Van Nynatten_ A; Crookes_ S; Ellender_ BR; Heath_ DD; MacIsaac_ HJ; Mandrak_ NE; Weyl_ OLF,Detecting Native Freshwater Fishes Using Novel Non-invasive Methods,1-Mar-20,P. swartzi,22,22,0.727272727,16,0.64,14,62,28,0.45,22,16,0.73,1 camera on for 3 min,-0.057991947,0.23,0.2,,,Cytochrome b,Water Fiilter,Camera,Passive,NA,NA,Fish
Castañeda_ RA; Van Nynatten_ A; Crookes_ S; Ellender_ BR; Heath_ DD; MacIsaac_ HJ; Mandrak_ NE; Weyl_ OLF,Detecting Native Freshwater Fishes Using Novel Non-invasive Methods,1-Mar-20,P. swartzi,22,22,0.727272727,16,0.64,14,62,28,0.45,22,16,0.73,,-0.057991947,0.23,0.2,,,Cytochrome b,Water Fiilter,Visual ,Active,NA,NA,Fish
Castañeda_ RA; Van Nynatten_ A; Crookes_ S; Ellender_ BR; Heath_ DD; MacIsaac_ HJ; Mandrak_ NE; Weyl_ OLF,Detecting Native Freshwater Fishes Using Novel Non-invasive Methods,1-Mar-20,S. capensis,22,22,0.454545455,10,0.45,10,62,21,0.34,22,10,0.45,1 camera on for 3 min,0,0.25,0.25,,,Cytochrome b,Water Fiilter,Camera,Passive,NA,NA,Fish
Castañeda_ RA; Van Nynatten_ A; Crookes_ S; Ellender_ BR; Heath_ DD; MacIsaac_ HJ; Mandrak_ NE; Weyl_ OLF,Detecting Native Freshwater Fishes Using Novel Non-invasive Methods,1-Mar-20,S. capensis,22,22,0.454545455,10,0.45,10,62,21,0.34,22,10,0.45,,0,0.25,0.25,,,Cytochrome b,Water Fiilter,Visual,Active,NA,NA,Fish
Akre_ TS; Parker_ LD; Ruther_ E; Maldonado_ JE; Lemmon_ L; Mclnerney_ NR,Concurrent visual encounter sampling validates eDNA selectivity and sensitivity for the endangered wood turtle (Glyptemys insculpta),1-Apr-19,G. insculpta,37,37,0.459459459,17,0.43,16,111,29,0.26,111,43,0.39,3 surveyors_ therfore 3x37. ,-0.026328939,0.25,0.25,,,Control Region ,Water Fiilter,Visual,Active,$275.30 (per sample),$42.56 (per sample),Reptile 
Morris_ L; Beesley_ LS; Stevens_ ER; Gwinn_ DC; Hyde_ J; Thompson_ S; Gleeson_ DB; Douglas_ MM,Active eDNA Is More Cost-Effective Than Fyke Nets or Passive eDNA Collection When Monitoring the Invasion of an Alien Freshwater Fish,1-Sep-24,G. brasiliensis,10,10,0.3,3,0.8,8,40,24,0.6,49,9,0.18,active eDNA x4 at each site_ 5 nets at each site except one (data received from authors),0.425968732,0.16,0.21,,,12s,Water Fiilter,Fyke  Nets,Passive,$60 per replicate sample,$193.00 ,Fish 
Morris_ L; Beesley_ LS; Stevens_ ER; Gwinn_ DC; Hyde_ J; Thompson_ S; Gleeson_ DB; Douglas_ MM,Active eDNA Is More Cost-Effective Than Fyke Nets or Passive eDNA Collection When Monitoring the Invasion of an Alien Freshwater Fish,1-Sep-24,G. brasiliensis,10,10,0.3,3,0.5,5,40,10,0.25,49,9,0.18,passive eDNA x4 at each site_ 5 nets at each site ,0.22184875,0.25,0.21,,,12s,Water Fiilter,Fyke  Nets,Passive,$60 per replicate sample,$169.00 ,Fish 
Ponce_ JJ; Arismendi_ I; Thomas_ A,Using in-situ environmental DNA sampling to detect the invasive New Zealand Mud Snail (Potamopyrgus antipodarum) in freshwaters,1-Aug-21,P. antipodarum,6,6,0.5,3,0.67,4,30,16,0.53,30,13,0.43,,0.124938737,0.22,0.25,,,Cytochrome b,Water filter ,Visual ,Active,NA,NA,Mollusc
Jacobsen_ MW; Nygaard_ R; Hansen_ BK; Broberg_ M; Hansen_ MM; Hedeholm_ R; Nielsen_ EE,Observing the Arctic: A comparison of environmental DNA (eDNA) and electrofishing for monitoring Arctic char and Atlantic salmon,1-Jul-23,S. alpinus ,9,9,0.888888889,8,1,9,24,24,1,9,8,0.89,,0.051152522,0,0.1,,,COI,Water filter ,Electrofishing ,Active,NA,NA,Fish
Jacobsen_ MW; Nygaard_ R; Hansen_ BK; Broberg_ M; Hansen_ MM; Hedeholm_ R; Nielsen_ EE,Observing the Arctic: A comparison of environmental DNA (eDNA) and electrofishing for monitoring Arctic char and Atlantic salmon,1-Jul-23,S. sarlar,9,9,0.222222222,2,0.44,4,24,7,0.29,9,2,0.22,,0.301029996,0.25,0.17,,,COI,Water filter ,Electrofishing ,Active,NA,NA,Fish
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,R. boylii,6,6,0,0,0,0,34,0,0,36,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,ND2,Water filter ,Visual,Active,NA,NA,Amphibian
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,C. gulosus,6,6,0,0,0.17,1,35,6,0.17,36,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0.14,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Fish
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,P. grandis,6,6,0.5,3,0.67,4,34,19,0.56,36,10,0.28,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0.124938737,0.22,0.25,,,COI,Water filter ,Visual,Active,NA,NA,Fish
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,A. boreas,6,6,1,6,0,0,36,0,0,36,2,0.06,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#NUM!,0,0,,,Control Region ,Water filter ,Visual,Active,NA,NA,Amphibian
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,A. marmorata,6,6,0.333333333,2,0.33,2,33,10,0.3,36,4,0.11,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0,0.22,0.22,,,ND4,Water filter ,Visual,Active,NA,NA,Reptile
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,O. mykiss,6,6,0.666666667,4,1,6,33,29,0.88,36,14,0.39,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36 ,0.176091259,0,0.22,,,COI,Water filter ,Visual,Active,NA,NA,Fish
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,L. catesbeianus,6,6,0.666666667,4,0.83,5,34,25,0.74,36,18,0.5,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0.096910013,0.14,0.22,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Amphibian
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,S. trutta,6,6,0.166666667,1,0.67,4,34,11,0.32,36,2,0.06,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,0.602059991,0.22,0.14,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Fish
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,P. antipodarum,6,6,0,0,0,0,35,0,0,36,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Mollusc
