Authors,Article.Title,Publication Year,Species,n traditional  = ,n edna = ,Prob.Trad,Pos.Trad,Prob.eDNA,Pos.eDNA,eDNA_samples,eDNA_pos,eDNA.Detection.Percentage.Fine ,Trad_samples,Trad_pos,Trad.Detection.Percentage.Fine,excluded,Notes,logRR,Calc.Vari.eDNA.Site,Calc.Vari.Trad.Site,Calc.Vari.eDNA.TotalSamp,Calc.Vari.Trad.TotalSamp,Genetic Markers ,Collection Methods eDNA,Collection Methods Trad,Methods,Traditional Cost,eDNA  Cost,Organism Type
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. punctipennis,10,10,0.3,3,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. punctipennis,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. punctipennis,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. punctipennis,10,10,0.3,3,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.25,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.4,4,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.1,1,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0.8,8,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A. vulgare,10,10,0,0,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.4,4,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.1,1,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,A.  Lewisi,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Schneider_ J; Valentini_ A; Dejean_ T; Montarsi_ F; Taberlet_ P; Glaizot_ O; Fumagalli_ L,Detection of Invasive Mosquito Vectors Using Environmental DNA (eDNA) from Water Samples,1-Sep-16,Ae. albopictus,31,31,0.483870968,15,0.516129032,16,93,16,0.172043011,31,15,0.483870968,0,3 edna smaples from each site ,0.028028724,0.249739854,0.249739854,,,ITS 1,Water Filter,Visual,Active,NA,NA,Arthropod
Schneider_ J; Valentini_ A; Dejean_ T; Montarsi_ F; Taberlet_ P; Glaizot_ O; Fumagalli_ L,Detection of Invasive Mosquito Vectors Using Environmental DNA (eDNA) from Water Samples,1-Sep-16,Ae. j. japonicus,17,17,0.705882353,12,0.764705882,13,51,14,0.274509804,17,12,0.705882353,0,,0.034762106,0.179930796,0.207612457,,,COI,Water Filter,Visual ,Active,NA,NA,Arthropod
Schneider_ J; Valentini_ A; Dejean_ T; Montarsi_ F; Taberlet_ P; Glaizot_ O; Fumagalli_ L,Detection of Invasive Mosquito Vectors Using Environmental DNA (eDNA) from Water Samples,1-Sep-16,Ae. Koreicus,14,14,0.357142857,5,0.571428571,8,42,8,0.19047619,14,5,0.357142857,0,,0.204119983,0.244897959,0.229591837,,,COI,Water Filter,Visual ,Active,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Arcitalitrus spp,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Arcitalitrus spp,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Arcitalitrus spp,10,10,0.6,6,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Arcitalitrus spp,10,10,0,0,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0.24,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Takahara_ T; Iwai_ N; Yasumiba_ K; Igawa_ T,Comparison of the detection of 3 endangered frog species by eDNA and acoustic surveys across 3 seasons,1-Mar-20,B. subaspera,26,26,0.153846154,4,0.230769231,6,78,7,0.08974359,416,email sent ,#VALUE!,1,1 eDNA sample per site per season (3 seasons)_ voice recordings every night for 3 minutes during speicif seasons t each site ,0.176091259,0.177514793,0.130177515,,,ND5,Water Filter,Voice Recording ,Passive,NA,NA,Amphibian
Hinlo_ R; Furlan_ E; Suitor_ L; Gleeson_ D,Environmental DNA monitoring and management of invasive fish: comparison of eDNA and fyke netting,1-Mar-17,C. carpio,8,8,1,8,1,8,45,email sent ,#VALUE!,72,email sent ,#VALUE!,1,9 nets_ 6 eDNA samples at each site_ except 1 had 5,0,0,0,,,12s,Water Filter,Fyke net,Passive,NA,NA,Fish
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.6,6,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.8,8,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.9,9,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,1,10,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.2,2,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.1,1,0.1,1,10,1,0.1,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,-0.903089987,0.09,0.16,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,C. exsul,10,10,0.4,4,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Kamoroff_ C; Meyer_ E; Goldberg_ CS; Parker_ S; Smith_ MM; Reece_ JS,Investigating Aquatic Species Distributions for Sequoia and Kings Canyon National Parks: A Comparison of Visual and Environmental DNA Surveys in Streams,1-Oct-23,C. gulosus,6,6,0,0,0.166666667,1,35,6,0.171428571,36,0,0,0,6 sites-  eDNA samples across all sites (from data given by authors).18 snorkel observations at each site- double pass therefore 36,#DIV/0!,0.138888889,0,,,Cytochrome b,Water filter ,Visual,Active,NA,NA,Fish
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,1,10,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pan,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,1,10,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pan,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.8,8,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 intercept,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.8,8,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 intercept,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.2,2,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 pitfall,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.5,5,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 pitfall,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.6,6,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- apples_ 5 sticky,#NUM!,0,0.09,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Todd_ JH; Simpson_ RM; Poulton_ J; Barraclough_ E; Villsen_ K; Brooks_ A; Richards_ K; Jones_ D,Detecting invertebrate ecosystem service providers in orchards: traditional methods versus barcoding of environmental DNA in soil,1-Aug-20,Cartodere spp,10,10,0.7,7,0,0,10,0,0,50,NA,#VALUE!,1,edna- 10 samples were taken but homogenized and a subset analyzed from that. Trad- kiwi_ 5 sticky,#NUM!,0,0,,,28s,Soil,traps,Passive,NA,NA,Arthropod
Blackman_ RC; Benucci_ M; Donnelly_ RC; Hänfling_ B; Harper_ LR; Sellers_ GS; Handley_ LL,Simple_ sensitive and species-specific assays for detecting quagga and zebra mussels (Dreissena rostriformis bugensis and D. polymorpha) using environmental DNA,1-Jun-20,D. bugensis,3,3,1,3,1,3,54,54,1,18,6,0.333333333,0,54 eDNA samples_ one 3 min kicknet at each of the 6 location from 3 rivers ,0,0,0,,,COI,Water Filter,Kick Net,Active,NA,NA,Mollusc
